[00:00:00,000 --> 00:00:00,000] 
[00:00:00,000 --> 00:00:01,620] ¿Qué
[00:00:01,620 --> 00:00:02,990] piensas
[00:00:02,990 --> 00:00:04,330] tienes
[00:00:04,330 --> 00:00:04,930] al
[00:00:04,930 --> 00:00:07,400] respecto?
[00:00:07,400 --> 00:00:07,640] La
[00:00:07,640 --> 00:00:08,380] verdad
[00:00:08,380 --> 00:00:08,620] me
[00:00:08,620 --> 00:00:09,360] siento
[00:00:09,360 --> 00:00:09,600] un
[00:00:09,600 --> 00:00:10,090] poco
[00:00:10,090 --> 00:00:11,620] excepcionada
[00:00:11,620 --> 00:00:11,920] porque
[00:00:11,920 --> 00:00:12,020] no
[00:00:12,020 --> 00:00:12,290] está
[00:00:12,290 --> 00:00:13,000] abierta,
[00:00:13,000 --> 00:00:13,240] no
[00:00:13,240 --> 00:00:13,700] sé,
[00:00:13,700 --> 00:00:13,800] no
[00:00:13,800 --> 00:00:14,160] podemos
[00:00:14,160 --> 00:00:14,360] ver
[00:00:14,360 --> 00:00:14,490] el
[00:00:14,490 --> 00:00:15,010] chanango
[00:00:15,010 --> 00:00:15,270] más
[00:00:15,270 --> 00:00:15,670] grande
[00:00:15,670 --> 00:00:15,800] de
[00:00:15,800 --> 00:00:16,520] Bolivia.
[00:00:16,520 --> 00:00:17,170] ¿Chanango
[00:00:17,170 --> 00:00:17,430] más
[00:00:17,430 --> 00:00:17,820] grande
[00:00:17,820 --> 00:00:17,950] de
[00:00:17,950 --> 00:00:18,640] Bolivia?
[00:00:18,640 --> 00:00:18,640] 
[00:00:18,640 --> 00:00:19,170] Dicen
[00:00:19,170 --> 00:00:19,600] más
[00:00:19,600 --> 00:00:20,460] grande,
[00:00:20,460 --> 00:00:21,010] allá
[00:00:21,010 --> 00:00:21,540] está
[00:00:21,540 --> 00:00:22,180] afuera
[00:00:22,180 --> 00:00:22,400] lo
[00:00:22,400 --> 00:00:22,720] que
[00:00:22,720 --> 00:00:23,200] hemos
[00:00:23,200 --> 00:00:24,120] visto.
[00:00:24,120 --> 00:00:24,230] Y
[00:00:24,230 --> 00:00:24,860] aquí
[00:00:24,860 --> 00:00:25,750] solamente
[00:00:25,750 --> 00:00:25,970] lo
[00:00:25,970 --> 00:00:26,440] han
[00:00:26,440 --> 00:00:26,710] hecho
[00:00:26,710 --> 00:00:26,820] de
[00:00:26,820 --> 00:00:27,340] madera,
[00:00:27,340 --> 00:00:27,710] para
[00:00:27,710 --> 00:00:28,000] que
[00:00:28,000 --> 00:00:28,270] sea
[00:00:28,270 --> 00:00:28,840] grande
[00:00:28,840 --> 00:00:29,150] este
[00:00:29,150 --> 00:00:29,310] de
[00:00:29,310 --> 00:00:31,400] aquí.
[00:00:31,400 --> 00:00:31,740] La
[00:00:31,740 --> 00:00:32,420] mano
[00:00:32,420 --> 00:00:32,890] yo
[00:00:32,890 --> 00:00:33,100] vi
[00:00:33,100 --> 00:00:34,290] allá,
[00:00:34,290 --> 00:00:34,630] la
[00:00:34,630 --> 00:00:35,310] mano
[00:00:35,310 --> 00:00:36,160] está
[00:00:36,160 --> 00:00:37,520] separada
[00:00:37,520 --> 00:00:38,370] sobre
[00:00:38,370 --> 00:00:38,710] el
[00:00:38,710 --> 00:00:40,070] chanango
[00:00:40,070 --> 00:00:43,400] así.
[00:00:43,400 --> 00:00:43,400] 
[00:00:43,400 --> 00:00:44,580] Sí,
[00:00:44,580 --> 00:00:47,540] probaremos,
[00:00:47,540 --> 00:00:48,160] con
[00:00:48,160 --> 00:00:48,650] mi
[00:00:48,650 --> 00:00:50,090] vida,
[00:00:50,090 --> 00:00:51,550] sopita
[00:00:51,550 --> 00:00:51,880] de
[00:00:51,880 --> 00:00:54,000] filia,
[00:00:54,000 --> 00:00:55,760] serranengo,
[00:00:55,760 --> 00:00:56,800] bueno,
[00:00:56,800 --> 00:00:57,580] vamos
[00:00:57,580 --> 00:00:57,770] a
[00:00:57,770 --> 00:00:58,670] buscar
[00:00:58,670 --> 00:00:59,640] comida
[00:00:59,640 --> 00:00:59,800] de
[00:00:59,800 --> 00:01:02,330] serrano,
[00:01:02,330 --> 00:01:04,200] como
[00:01:04,200 --> 00:01:04,510] buenos
[00:01:04,510 --> 00:01:05,160] hermiences.
[00:01:05,160 --> 00:01:05,160] 
[00:01:05,160 --> 00:01:05,890] ¿Qué
[00:01:05,890 --> 00:01:06,760] piensas
[00:01:06,760 --> 00:01:07,510] tienes
[00:01:07,510 --> 00:01:07,760] al
[00:01:07,760 --> 00:01:09,120] respecto?
[00:01:09,120 --> 00:01:09,860] ¿Qué
[00:01:09,860 --> 00:01:10,720] piensas
[00:01:10,720 --> 00:01:11,470] tienes
[00:01:11,470 --> 00:01:11,720] al
[00:01:11,720 --> 00:01:13,160] respecto?
